seqid,model_score
0,1340.0637
1,1340.6642
2,1340.8514
3,1345.2562
4,1344.752
5,1344.2494
6,1341.773
7,1342.9866
8,1345.3843
9,1345.4131
10,1345.219
11,1338.6538
12,1342.7609
13,1349.9135
14,1349.6947
15,1349.6211
16,1345.3455
17,1345.2551
18,1346.4597
19,1349.3038
20,1351.5994
21,1346.9733
22,1344.3107
23,1344.4333
24,1344.3071
25,1340.6545
26,1344.4443
27,1344.9602
28,1346.818
29,1346.8151
30,1347.7162
31,1344.1996
32,1340.9811
33,1336.909
34,1339.4293
35,1338.1743
36,1338.747
37,1332.6157
38,1334.1852
39,1337.3765
40,1338.8137
41,1343.6545
42,1349.4998
43,1341.9862
44,1334.7488
45,1344.674
46,1344.6478
47,1338.7539
48,1344.9376
49,1346.3757
50,1344.7621
51,1345.6267
52,1347.346
53,1350.4987
54,1352.2701
55,1352.0415
56,1352.2986
57,1347.5645
58,1347.3546
59,1344.0688
60,1344.9181
61,1348.8064
62,1346.2494
63,1347.3043
64,1347.9049
65,1351.9072
66,1354.4961
67,1353.6268
68,1352.6338
69,1352.6768
70,1353.6049
71,1352.0276
72,1351.7103
73,1349.2396
74,1349.4447
75,1351.4762
76,1350.9963
77,1342.1854
78,1340.2338
79,1333.1384
80,1332.0095
81,1333.649
82,1332.4318
83,1328.3408
84,1324.7694
85,1325.3634
86,1316.6873
87,1314.5172
88,1302.3126
89,1312.1857
90,1313.4622
91,1310.7056
92,1313.5923
93,1313.8367
94,1312.1299
95,1314.0657
96,1304.4901
97,1306.6066
98,1310.6636
99,1310.9756
100,1348.526
101,1351.6226
102,1351.5028
103,1347.099
104,1349.4907
105,1346.2993
106,1342.0322
107,1343.5035
108,1335.8995
109,1337.0262
110,1337.4065
111,1333.2252
112,1329.925
113,1330.071
114,1329.6539
115,1328.1694
116,1326.9264
117,1326.7843
118,1325.8793
119,1327.8424
120,1324.4601
121,1326.0695
122,1326.5823
123,1334.3704
124,1334.8368
125,1333.826
126,1333.2908
127,1330.1655
128,1330.8086
129,1331.2412
130,1329.5137
131,1329.6733
132,1331.6285
133,1333.4802
134,1335.1256
135,1335.4778
136,1338.632
137,1338.4288
138,1337.8983
139,1349.8818
140,1345.0483
141,1343.8947
142,1346.5924
143,1348.9208
144,1348.6077
145,1355.0691
146,1352.6017
147,1353.1499
148,1353.425
149,1350.2125
150,1346.2802
151,1347.1115
152,1346.3691
153,1349.7603
154,1348.3821
155,1344.1766
156,1342.13
157,1343.548
158,1340.2281
159,1341.0999
160,1343.7638
161,1344.3744
162,1345.8237
163,1344.2855
164,1342.8005
165,1338.4515
166,1338.7814
167,1337.8352
168,1338.6027
169,1352.07
170,1352.5813
171,1351.2164
172,1352.6782
173,1353.2377
174,1356.8523
175,1360.4646
176,1355.5415
177,1354.922
178,1356.0905
179,1355.4358
180,1352.707
181,1353.7899
182,1353.6223
183,1350.6375
184,1345.6012
185,1345.499
186,1345.7885
187,1345.1309
188,1347.3752
189,1351.3041
190,1350.7705
191,1352.2391
192,1351.0836
193,1353.0459
194,1353.7789
195,1353.2047
196,1355.6079
197,1356.4884
198,1353.5001
199,1352.2698
200,1350.5027
201,1350.6754
202,1341.9109
203,1342.289
204,1354.2845
205,1352.5322
206,1352.8805
207,1353.6046
208,1353.5347
209,1358.608
210,1356.2665
211,1357.4666
212,1357.9255
213,1358.8649
214,1359.1119
215,1364.1119
216,1363.9608
217,1366.3872
218,1369.9541
219,1367.6821
220,1366.7009
221,1367.7057
222,1371.8899
223,1370.7352
224,1369.0619
225,1372.0856
226,1372.5968
227,1371.2998
228,1374.7286
229,1376.684
230,1374.8551
231,1378.3154
232,1371.041
233,1371.7628
234,1375.0806
235,1376.118
236,1336.617
237,1335.513
238,1336.8881
239,1337.2268
240,1337.6112
241,1337.0463
242,1335.2225
243,1333.7856
244,1336.0142
245,1335.3439
246,1338.8987
247,1337.5347
248,1330.3375
249,1330.9802
250,1330.043
251,1334.3744
252,1335.0192
253,1334.1368
254,1333.711
255,1332.39
256,1331.7069
257,1333.4058
258,1333.3104
259,1335.2905
260,1335.1614
261,1335.8221
262,1333.0238
263,1335.9564
264,1335.9373
265,1332.7631
266,1363.3503
267,1363.3363
268,1360.0946
269,1360.475
270,1360.5574
271,1359.6783
272,1361.3193
273,1361.0688
274,1362.0616
275,1361.5361
276,1362.3917
277,1361.2582
278,1360.7428
279,1359.2343
280,1359.8026
281,1358.959
282,1360.5684
283,1361.2998
284,1360.7806
285,1360.387
286,1365.3192
287,1364.8691
288,1366.3242
289,1364.7709
290,1364.4409
291,1364.6807
292,1365.4224
293,1364.8142
294,1365.986
295,1363.8328
296,1363.6887
297,1362.9098
298,1360.0454
299,1360.6384
300,1360.4075
301,1358.3752
302,1336.0531
303,1336.3088
304,1338.0392
305,1334.7982
306,1337.3522
307,1341.7312
308,1344.9053
309,1346.0195
310,1346.2341
311,1344.9202
312,1344.678
313,1347.2999
314,1348.7745
315,1344.3054
316,1343.5116
317,1345.6105
318,1343.9507
319,1343.4275
320,1343.0564
321,1345.6195
322,1343.0114
323,1345.2542
324,1348.1774
325,1348.2115
326,1347.4915
327,1350.6079
328,1352.616
329,1353.9077
330,1355.1534
331,1355.818
332,1353.9634
333,1353.5187
334,1353.0298
335,1354.8469
336,1350.1871
337,1349.2267
338,1350.6279
339,1353.6385
340,1350.8146
341,1348.3843
342,1348.2327
343,1346.5669
344,1348.8533
345,1348.3973
346,1347.9785
347,1352.2622
348,1351.2603
349,1352.7627
350,1354.2471
351,1352.2039
352,1355.3505
353,1360.4684
354,1355.7823
355,1355.7694
356,1354.5002
