seqid,model_score
0,1346.7985
1,1352.4847
2,1357.6707
3,1360.1943
4,1360.7445
5,1363.5137
6,1360.8884
7,1362.8721
8,1363.7009
9,1363.9827
10,1365.2058
11,1365.546
12,1366.7416
13,1367.5874
14,1364.6884
15,1362.903
16,1362.677
17,1362.2897
18,1361.3577
19,1353.1412
20,1356.512
21,1350.1682
22,1350.8195
23,1353.7994
24,1355.34
25,1354.2996
26,1351.4904
27,1350.7213
28,1351.2777
29,1352.8192
30,1350.9246
31,1352.1846
32,1351.0393
33,1347.0181
34,1343.8928
35,1352.0652
36,1350.97
37,1349.1733
38,1356.009
39,1357.379
40,1355.9354
41,1356.1407
42,1357.3794
43,1351.576
44,1352.9928
45,1355.295
46,1353.376
47,1352.1525
48,1352.3123
49,1350.2488
50,1347.0326
51,1345.5527
52,1345.6459
53,1341.4829
54,1342.803
55,1340.3002
56,1339.5719
57,1336.3524
58,1335.8722
59,1336.9426
60,1335.8057
61,1333.0916
62,1335.5538
63,1333.1316
64,1332.392
65,1334.4171
66,1333.4904
67,1336.0269
68,1331.0077
69,1331.5558
70,1328.9932
71,1327.4517
72,1334.4458
73,1353.6271
74,1360.8232
75,1363.5737
76,1362.675
77,1361.8394
78,1362.0452
79,1361.9832
80,1358.0604
81,1355.7651
82,1355.0421
83,1357.342
84,1357.5016
85,1355.4126
86,1353.7144
87,1354.3594
88,1353.7072
89,1353.0468
90,1353.5393
91,1354.0833
92,1352.4501
93,1352.4888
94,1352.9374
95,1352.0547
96,1352.7944
97,1348.0781
98,1346.8857
99,1345.1096
100,1350.6764
101,1353.2708
102,1353.1835
103,1350.9269
104,1346.2037
105,1344.9092
106,1348.0171
107,1351.3031
108,1350.6373
109,1350.822
110,1349.0303
111,1347.4486
112,1351.9684
113,1354.5853
114,1356.8895
115,1353.8994
116,1355.1395
117,1355.8258
118,1356.115
119,1353.286
120,1350.0916
121,1349.8569
122,1349.3944
123,1347.5292
124,1344.8212
125,1344.3262
126,1345.0747
127,1340.3427
128,1332.7448
129,1334.3848
130,1341.4535
131,1341.6467
132,1340.6837
133,1343.6785
134,1344.2537
135,1342.9132
136,1344.4037
137,1344.4551
138,1343.4529
139,1342.8132
140,1340.8512
141,1341.036
142,1340.9244
