seqid,model_score
0,1335.0428
1,1341.2906
2,1340.2936
3,1341.5901
4,1343.2906
5,1343.2568
6,1345.3458
7,1342.1698
8,1346.2688
9,1345.1066
10,1346.2357
11,1346.1123
12,1346.6162
13,1348.0254
14,1347.0082
15,1348.2147
16,1347.7445
17,1351.5842
18,1348.8025
19,1350.1024
20,1350.9017
21,1349.4089
22,1349.8623
23,1350.984
24,1349.7941
25,1352.8417
26,1349.2622
27,1351.4009
28,1348.1847
29,1344.2842
30,1350.3018
31,1352.0425
32,1349.7355
33,1358.7325
34,1358.2391
35,1351.9662
36,1349.5526
37,1348.1912
38,1346.9932
39,1348.6691
40,1351.2765
41,1349.8579
42,1349.4548
43,1350.1255
44,1350.3319
45,1351.6415
46,1351.9353
47,1352.1819
48,1351.395
49,1351.1117
50,1351.2435
51,1353.843
52,1354.3174
53,1354.2076
54,1355.7635
55,1355.926
56,1353.8374
57,1354.8708
58,1357.6968
59,1358.2965
60,1358.3323
61,1359.5734
62,1361.7423
63,1361.4412
64,1365.5131
65,1366.4568
66,1366.8201
67,1367.3983
68,1367.4601
69,1366.0442
70,1368.3176
71,1358.1761
72,1357.8345
73,1358.0457
74,1354.7817
75,1352.8073
76,1351.6973
77,1351.6365
78,1350.0392
79,1352.0594
80,1356.0892
81,1355.2999
82,1354.1968
83,1350.8016
84,1350.8182
85,1347.292
86,1346.5305
87,1348.4421
88,1347.0444
89,1340.3849
90,1341.2278
91,1349.061
92,1350.5696
93,1352.6251
94,1348.9644
95,1348.1176
96,1343.0626
97,1341.7582
98,1341.254
99,1341.9337
100,1337.2426
101,1338.2125
102,1337.6228
103,1338.9648
104,1328.3273
105,1331.5409
106,1331.2968
107,1326.2222
108,1325.5381
109,1323.8333
110,1325.4193
111,1327.3062
112,1329.0453
113,1329.5767
114,1326.8079
115,1331.3335
116,1331.6222
117,1329.7072
118,1335.2473
119,1331.4907
120,1334.6451
121,1333.7495
122,1330.3328
123,1328.457
124,1327.9816
125,1323.3898
126,1329.0017
127,1335.8923
128,1334.8044
129,1338.8795
130,1336.8186
131,1336.5466
132,1335.8588
133,1335.6808
134,1331.9901
135,1331.9742
136,1330.0885
137,1329.8279
138,1330.819
139,1329.4312
140,1344.3518
141,1341.0776
142,1342.4794
143,1341.7158
144,1340.3315
145,1342.7557
146,1351.9038
147,1355.745
148,1351.1422
149,1351.4443
150,1353.1912
151,1353.0637
152,1349.7905
153,1350.6735
154,1347.2009
155,1348.9027
156,1348.9224
157,1344.3834
158,1342.2245
159,1342.7994
160,1343.8322
161,1346.3254
162,1344.1327
163,1343.6163
164,1341.3386
165,1345.0203
166,1343.758
167,1349.5935
168,1347.782
169,1354.0092
170,1354.2974
171,1354.6492
172,1356.0303
173,1352.6729
174,1353.7073
175,1353.1652
176,1350.5858
177,1353.3553
178,1338.8259
179,1340.675
180,1339.5054
181,1338.2758
182,1338.1602
183,1337.005
184,1338.8606
185,1341.0452
186,1339.5463
187,1340.3093
188,1338.0883
189,1338.3477
190,1339.786
191,1334.1678
192,1332.3041
193,1334.2991
194,1332.9954
195,1332.8861
196,1332.0945
197,1331.8467
198,1335.675
199,1336.2694
200,1342.3152
201,1337.0581
202,1334.7563
203,1331.1914
204,1329.0092
205,1324.2847
206,1324.5597
207,1328.9723
208,1322.1666
209,1312.9813
210,1311.7186
211,1312.093
212,1310.8524
213,1314.3152
214,1315.9474
215,1317.7163
216,1314.3092
217,1316.1389
218,1317.693
219,1346.7935
220,1344.8474
221,1344.889
222,1347.5465
223,1347.0021
224,1346.9828
225,1341.7781
226,1340.7336
227,1341.6578
228,1340.6395
229,1346.5264
230,1345.4487
231,1343.0386
232,1343.7551
233,1343.7101
234,1341.6935
235,1339.1587
236,1340.1979
237,1341.4684
238,1342.0852
239,1342.1868
240,1342.6523
241,1338.524
242,1338.2389
243,1338.2292
244,1338.2695
245,1340.1815
246,1340.9711
247,1341.5278
248,1343.0792
249,1340.9452
250,1339.6893
251,1338.5287
252,1330.6207
253,1332.0254
254,1331.4958
255,1333.8956
256,1334.0327
257,1332.401
258,1327.9456
259,1328.225
260,1323.7786
261,1324.3517
262,1326.6082
263,1332.7126
264,1333.5703
265,1330.3767
266,1328.665
267,1330.953
268,1329.2654
269,1331.7213
270,1333.24
271,1331.866
272,1330.3376
273,1336.277
274,1338.9751
275,1339.6113
276,1339.6346
277,1340.5623
278,1340.6471
279,1337.8578
280,1338.3595
281,1335.0366
282,1333.683
283,1326.5785
284,1327.7183
285,1327.7545
286,1326.7008
287,1326.0754
288,1319.5309
289,1359.6746
290,1359.6951
291,1360.5065
292,1362.4271
293,1362.2526
294,1361.0441
295,1360.3938
296,1358.3522
297,1353.8654
298,1348.6783
299,1351.2616
300,1351.6278
301,1350.289
302,1352.057
303,1343.6302
304,1345.1113
305,1343.5829
306,1341.1658
307,1344.2014
308,1342.7852
309,1341.993
310,1342.2288
311,1338.642
312,1340.285
313,1337.2285
314,1337.7678
315,1338.111
316,1340.1046
317,1336.7534
318,1340.1362
319,1340.8771
320,1341.6788
321,1340.349
322,1345.6337
323,1343.7064
324,1343.2722
325,1345.2375
326,1348.0682
327,1347.2739
328,1350.5641
329,1350.2362
330,1357.5637
331,1354.0332
332,1354.7885
333,1355.5857
334,1357.4824
335,1360.9194
336,1358.6898
337,1357.7968
338,1355.9048
339,1355.2795
340,1352.2928
341,1350.1737
342,1349.5598
343,1343.9802
344,1343.8663
345,1344.3958
346,1347.1614
347,1342.8998
348,1346.2146
349,1345.2413
350,1350.6559
351,1353.0309
352,1354.0577
