seqid,model_score
0,1348.8154
1,1347.4082
2,1346.9557
3,1347.396
4,1348.3193
5,1345.1748
6,1344.9507
7,1343.9047
8,1345.3838
9,1348.5541
10,1348.064
11,1345.7211
12,1344.509
13,1348.3994
14,1352.3356
15,1346.0226
16,1344.8804
17,1342.7523
18,1341.0978
19,1345.8649
20,1345.5314
21,1347.6853
22,1346.1187
23,1346.521
24,1346.1256
25,1349.8795
26,1348.4954
27,1349.8544
28,1349.9717
29,1343.5544
30,1344.3025
31,1344.9545
32,1344.444
33,1342.9314
34,1339.5724
35,1339.6533
36,1339.1736
37,1339.1989
38,1337.4895
39,1340.6978
40,1340.8981
41,1340.2596
42,1337.6481
43,1339.0452
44,1332.4103
45,1329.9224
46,1328.851
47,1328.5155
48,1326.7826
49,1328.554
50,1327.5681
51,1325.3912
52,1324.7543
53,1324.3489
54,1323.1273
55,1317.8104
56,1314.8607
57,1323.1089
58,1323.5098
59,1324.4829
60,1326.891
61,1324.2751
62,1323.6068
63,1324.0815
64,1320.2698
65,1320.4
66,1322.0585
67,1320.993
68,1347.6763
69,1345.7347
70,1345.1616
71,1345.9723
72,1349.2134
73,1345.9878
74,1348.102
75,1347.2954
76,1346.5856
77,1351.9229
78,1350.2675
79,1350.7256
80,1351.119
81,1351.0414
82,1356.8644
83,1357.28
84,1356.8257
85,1356.3993
86,1356.3923
87,1355.5658
88,1355.5009
89,1358.098
90,1362.8961
91,1363.3702
92,1358.9683
93,1356.1926
94,1355.4799
95,1359.229
96,1362.8153
97,1365.5587
98,1364.8384
99,1360.0457
100,1359.0227
101,1340.3987
102,1340.1938
103,1338.9799
104,1340.0936
105,1340.9625
106,1338.0369
107,1337.7067
108,1337.524
109,1333.272
110,1334.9661
111,1335.0962
112,1334.498
113,1330.338
114,1333.909
115,1335.1239
116,1337.0986
117,1339.3745
118,1339.9985
119,1340.5953
120,1340.6088
121,1339.8918
122,1347.1322
123,1347.0145
124,1346.9131
125,1346.8956
126,1350.137
127,1352.135
128,1349.4728
129,1352.8324
130,1350.2911
131,1349.431
132,1350.8433
133,1350.5864
134,1347.1431
135,1353.8994
136,1355.8484
137,1357.2173
138,1357.1743
139,1354.592
140,1357.3588
141,1354.6605
142,1356.6993
143,1358.1952
144,1361.3058
145,1360.469
146,1358.4065
147,1357.0857
148,1356.6273
149,1359.6798
150,1359.9977
151,1357.9824
152,1356.7406
153,1355.4364
154,1356.6262
155,1356.2722
156,1361.872
157,1363.7838
158,1366.3705
159,1364.939
160,1348.934
161,1347.8641
162,1345.6304
163,1344.57
164,1345.2875
165,1343.9926
166,1343.0204
167,1342.5253
168,1341.474
169,1343.0172
170,1339.2979
171,1342.4955
172,1339.5139
173,1337.4762
174,1338.1344
175,1334.4165
176,1335.0574
177,1336.1797
178,1335.0096
179,1334.797
180,1332.1874
181,1334.6254
182,1334.4481
183,1341.6014
184,1340.1906
185,1341.2047
186,1340.4161
187,1339.133
188,1338.9814
189,1338.952
190,1339.9513
191,1340.6963
192,1343.7864
193,1343.2429
194,1340.8429
195,1343.4865
196,1363.2107
197,1363.7666
198,1362.0911
199,1367.2556
200,1371.6664
201,1369.4307
202,1370.561
203,1369.9349
204,1368.0565
205,1367.4027
206,1367.7206
207,1368.8965
208,1368.0458
209,1367.3767
210,1363.1123
211,1361.8506
212,1364.1293
213,1359.5535
214,1356.793
215,1356.7882
216,1357.9806
217,1354.745
218,1352.6765
219,1351.9548
220,1350.2078
221,1355.331
222,1353.4874
223,1352.7509
224,1349.8634
225,1349.6025
226,1350.0171
227,1350.1848
228,1349.7441
229,1343.9756
230,1337.7781
231,1337.4349
232,1345.7345
233,1346.5874
234,1344.9642
235,1340.0208
236,1339.6328
237,1340.4474
238,1341.0599
239,1341.4163
240,1341.7626
241,1343.4786
242,1342.5486
243,1338.7626
244,1339.3724
245,1339.1844
246,1339.8292
