seqid,model_score
0,1341.8712
1,1341.8801
2,1333.8029
3,1333.8677
4,1336.4412
5,1335.3696
6,1333.3181
7,1331.9092
8,1330.8484
9,1323.9034
10,1318.9998
11,1322.4495
12,1324.3939
13,1325.2993
14,1327.641
15,1327.3575
16,1327.6489
17,1330.1664
18,1327.249
19,1325.3347
20,1328.6697
21,1332.133
22,1333.8176
23,1328.4329
24,1328.9476
25,1327.8315
26,1327.5094
27,1324.1665
28,1326.5511
29,1326.9525
30,1329.5176
31,1329.6301
32,1329.5955
33,1329.4227
34,1331.272
35,1334.1216
36,1334.3062
37,1336.4883
38,1334.9221
39,1335.7252
40,1338.8145
41,1351.1724
42,1348.8726
43,1351.0602
44,1349.2491
45,1349.3708
46,1345.8972
47,1348.0106
48,1351.3154
49,1353.5184
50,1352.0892
51,1358.8243
52,1357.1576
53,1356.1187
54,1355.972
55,1353.6943
56,1353.7272
57,1351.6201
58,1352.2622
59,1347.8485
60,1346.9167
61,1349.6049
62,1351.7216
63,1351.5024
64,1348.3297
65,1346.2474
66,1345.1785
67,1346.0881
68,1342.3517
69,1344.4825
70,1343.4663
71,1341.8741
72,1341.2499
73,1362.1842
74,1368.2944
75,1369.1605
76,1368.5782
77,1369.4333
78,1368.964
79,1373.9414
80,1373.1174
81,1368.859
82,1371.0303
83,1371.7749
84,1370.1963
85,1365.1168
86,1363.1458
87,1361.7888
88,1359.5199
89,1361.0042
90,1363.8396
91,1366.2714
92,1366.0789
93,1365.6215
94,1366.3663
95,1360.6656
96,1368.3846
97,1363.5597
98,1362.444
99,1363.7758
100,1354.5532
101,1355.6979
102,1351.1537
103,1352.5743
104,1347.4045
105,1348.1049
106,1347.6414
107,1346.4344
108,1353.3246
109,1352.5508
110,1346.7719
111,1346.8787
112,1340.5724
113,1340.7551
114,1342.3724
115,1340.4954
116,1339.5903
117,1339.1904
118,1339.5912
119,1338.3595
120,1338.3594
121,1343.466
122,1341.7561
123,1344.6252
124,1344.4414
125,1344.8917
126,1346.8019
127,1349.4407
128,1347.7742
129,1349.0219
130,1347.7881
131,1344.2582
132,1346.0402
133,1343.3322
134,1344.0372
135,1344.1711
136,1341.6394
137,1339.4044
138,1334.6906
139,1334.4786
140,1332.1942
141,1331.7885
142,1333.5996
143,1328.2631
144,1326.7852
145,1335.778
146,1336.4408
147,1337.8
148,1338.1528
149,1339.946
150,1338.0543
151,1335.1981
152,1329.3961
153,1328.867
154,1333.8557
155,1329.4249
156,1329.0204
157,1329.6554
158,1330.6292
159,1330.3264
160,1328.375
161,1328.3638
162,1328.5675
163,1324.2733
164,1321.3516
165,1316.7449
166,1316.3691
167,1320.9929
168,1320.73
169,1318.1931
170,1321.7396
171,1319.8905
172,1319.3291
173,1318.784
174,1322.2397
175,1349.7906
176,1348.247
177,1342.3762
178,1341.5715
179,1342.7026
180,1341.8674
181,1334.8048
182,1342.9813
183,1346.7437
184,1348.8583
185,1348.9023
186,1347.8788
187,1346.2804
188,1346.2828
189,1345.1199
190,1347.1532
191,1345.8035
192,1343.7482
193,1342.9451
194,1344.5377
195,1346.0442
196,1348.2931
197,1346.6567
198,1343.3313
199,1338.7244
200,1336.5807
201,1336.1954
202,1340.3439
203,1341.7538
204,1338.0055
205,1338.3107
206,1336.2255
207,1336.7942
208,1354.0621
209,1353.9995
210,1353.991
211,1356.6577
212,1355.1029
213,1359.5773
214,1359.169
215,1362.9219
216,1359.2755
217,1358.317
218,1357.9142
219,1354.845
220,1355.6837
221,1355.4895
222,1352.8025
223,1359.2603
224,1359.0809
225,1359.2236
226,1360.2217
227,1359.3118
228,1355.305
229,1357.5116
230,1358.3246
231,1361.5048
232,1361.4362
233,1363.5016
234,1364.6277
235,1358.2323
236,1359.4163
237,1359.2239
238,1364.8088
239,1344.4559
240,1346.3018
241,1349.1647
242,1348.0634
243,1349.0715
244,1348.9722
245,1346.19
246,1343.4067
247,1344.3534
248,1342.3135
249,1342.1271
250,1342.641
251,1342.7777
252,1343.3971
253,1345.3147
254,1346.7295
255,1344.4185
256,1345.8878
257,1347.8978
258,1345.5608
259,1344.4313
260,1345.4248
261,1349.0846
262,1348.5795
263,1347.7397
264,1347.2926
265,1341.1299
266,1339.6317
267,1336.7756
268,1339.142
269,1339.693
270,1338.3241
271,1338.787
272,1338.4869
273,1336.2142
274,1335.1796
275,1340.1501
276,1338.765
277,1338.751
278,1339.5691
279,1339.6422
280,1337.8275
281,1338.8529
282,1339.174
283,1339.4182
284,1340.7915
285,1337.7382
286,1338.7991
287,1337.1064
288,1336.0665
289,1336.4805
290,1335.1135
291,1330.8712
292,1330.2709
293,1330.1833
294,1331.62
295,1328.2023
296,1328.7803
297,1329.1538
298,1330.711
299,1331.0751
300,1327.0367
301,1325.0396
302,1324.1241
303,1319.9178
304,1318.1638
305,1316.8682
306,1349.8506
307,1345.3744
308,1339.1295
309,1339.3763
310,1341.15
311,1344.5428
312,1350.2152
313,1348.9362
314,1346.849
315,1343.764
316,1346.2665
317,1353.1372
318,1353.0206
319,1355.6637
320,1351.1844
321,1351.2385
322,1351.1173
323,1347.6462
324,1349.7526
325,1353.7697
326,1355.4839
327,1356.48
328,1356.6951
329,1357.0393
330,1348.8558
331,1347.4349
332,1347.0188
333,1347.9081
334,1346.6348
335,1345.1807
336,1347.714
337,1347.9744
338,1348.4666
339,1349.2057
340,1343.137
341,1343.0784
342,1347.4696
343,1345.2506
344,1342.9346
345,1342.0676
346,1344.3347
347,1348.3568
348,1348.4586
349,1343.6154
350,1342.6078
351,1339.298
352,1338.3292
