seqid,model_score
0,1345.1404
1,1343.5808
2,1340.2666
3,1340.025
4,1336.0352
5,1336.9413
6,1336.4456
7,1339.1155
8,1336.6654
9,1337.0563
10,1336.784
11,1338.6808
12,1337.8678
13,1335.2931
14,1332.9944
15,1334.8209
16,1331.0214
17,1335.8093
18,1333.6504
19,1331.8329
20,1332.289
21,1332.9152
22,1333.675
23,1336.2445
24,1335.1261
25,1333.2227
26,1335.8046
27,1334.9142
28,1335.7244
29,1336.6871
30,1334.0693
31,1332.6927
32,1332.7612
33,1327.345
34,1324.6781
35,1325.788
36,1327.0085
37,1327.8356
38,1326.567
39,1322.8932
40,1324.0145
41,1323.8668
42,1350.8618
43,1348.8604
44,1346.1738
45,1347.4375
46,1348.2308
47,1348.1194
48,1350.9038
49,1350.1101
50,1346.5624
51,1349.4309
52,1346.5016
53,1344.7794
54,1343.3386
55,1338.9967
56,1339.8777
57,1338.547
58,1333.8221
59,1334.0984
60,1332.9901
61,1330.7491
62,1331.026
63,1329.6163
64,1332.1157
65,1331.7756
66,1331.2128
67,1328.8828
68,1329.8163
69,1330.8195
70,1347.7567
71,1345.7844
72,1343.0505
73,1341.0736
74,1340.2129
75,1339.3792
76,1339.2738
77,1342.0892
78,1338.3883
79,1329.3815
80,1332.5728
81,1332.534
82,1333.3577
83,1334.9218
84,1334.6532
85,1332.2986
86,1334.7917
87,1337.6605
88,1341.269
89,1337.0695
90,1333.9895
91,1332.0757
92,1328.6964
93,1324.1727
94,1323.8162
95,1324.1042
96,1326.5745
97,1323.4491
98,1330.7886
99,1330.0527
100,1331.3306
101,1358.6821
102,1357.3418
103,1358.7433
104,1358.2716
105,1358.1213
106,1351.5847
107,1351.141
108,1348.6135
109,1348.2365
110,1349.6079
111,1347.8118
112,1342.4865
113,1341.3987
114,1341.9036
115,1340.1099
116,1340.6716
117,1338.024
118,1334.3962
119,1337.0314
120,1337.0316
121,1335.9296
122,1335.8339
123,1330.8121
124,1330.849
125,1321.741
126,1325.7308
127,1325.3597
128,1326.0873
129,1323.8022
130,1323.6652
131,1323.2921
132,1323.4731
133,1320.1381
134,1322.6127
135,1330.1581
136,1330.2349
137,1324.6256
138,1334.0262
139,1334.3124
140,1333.9636
141,1333.581
142,1331.7395
143,1332.6827
144,1334.1782
145,1332.8693
146,1330.3564
147,1330.6307
148,1330.9124
149,1328.9635
150,1328.4961
151,1328.6932
152,1327.6534
153,1326.7594
154,1324.98
155,1325.1859
