seqid,model_score
0,1342.6659
1,1344.287
2,1346.8777
3,1348.195
4,1351.2354
5,1350.9291
6,1347.7928
7,1350.6913
8,1353.1326
9,1353.9496
10,1352.3184
11,1347.9697
12,1347.6621
13,1347.629
14,1346.5541
15,1347.1798
16,1347.2352
17,1346.209
18,1350.4082
19,1348.5013
20,1350.8795
21,1345.7937
22,1344.0731
23,1344.0604
24,1344.0258
25,1341.0184
26,1340.2301
27,1340.0306
28,1339.93
29,1338.746
30,1344.7374
31,1348.4313
32,1348.9943
33,1349.2032
34,1350.501
35,1352.2065
36,1353.773
37,1348.4492
38,1350.2869
39,1351.6611
40,1351.8479
41,1351.2675
42,1350.5455
43,1344.8572
44,1343.323
45,1344.0847
46,1343.8787
47,1343.5884
48,1348.301
49,1348.4655
50,1346.2949
51,1345.1462
52,1344.6842
53,1344.8273
54,1349.0824
55,1348.4421
56,1345.3926
57,1353.4441
58,1351.4623
59,1351.8606
60,1352.186
61,1353.98
62,1353.5182
63,1352.1355
64,1351.7909
65,1349.0306
66,1348.7845
67,1349.2559
68,1348.0311
69,1346.3198
70,1347.2596
71,1352.8572
72,1352.9359
73,1350.2301
74,1351.7572
75,1350.8497
76,1351.2125
77,1349.3969
78,1352.3097
79,1352.5244
80,1355.9067
81,1356.5518
82,1356.6702
83,1359.5774
84,1356.4747
85,1357.5322
86,1359.6788
87,1360.2772
88,1358.7408
89,1356.3788
90,1356.7948
91,1354.8198
92,1356.9221
93,1355.5133
94,1357.6982
95,1360.3037
96,1357.4281
97,1355.1659
98,1356.5808
99,1355.535
100,1351.7463
101,1346.5729
102,1347.4198
103,1345.1207
104,1347.351
105,1345.0062
106,1339.3014
107,1342.6372
108,1343.4846
109,1336.9387
110,1342.4218
111,1342.7341
112,1346.4464
113,1344.339
114,1346.7334
115,1342.7375
116,1342.927
117,1338.908
118,1339.3501
119,1337.6396
120,1336.4388
121,1339.4047
122,1338.2733
123,1339.1093
124,1338.988
125,1334.9603
126,1330.7323
127,1333.9106
128,1332.2992
129,1329.7097
130,1333.4188
131,1333.1984
132,1329.4268
133,1329.2374
134,1331.8832
135,1332.0751
136,1330.4377
137,1329.206
138,1327.6686
139,1328.573
140,1328.3124
141,1329.9281
142,1348.8485
143,1350.1799
144,1346.9694
145,1343.6954
146,1341.1625
147,1339.1825
148,1341.0463
149,1341.9374
150,1341.0337
151,1341.1571
152,1335.2255
153,1341.6401
154,1346.8312
155,1350.098
156,1351.9783
157,1348.4395
158,1349.3257
159,1349.6412
160,1350.1298
161,1349.802
162,1349.8069
163,1352.9845
164,1352.9803
165,1350.7688
166,1355.2025
167,1353.2096
168,1351.1869
169,1351.1561
170,1351.0553
171,1353.5889
172,1350.5117
173,1347.9025
174,1345.3945
175,1345.1735
176,1346.5973
177,1345.007
178,1344.7922
179,1347.652
180,1348.2164
181,1353.7164
182,1361.4265
183,1360.9471
184,1360.8674
185,1361.9149
186,1357.4225
187,1356.081
188,1355.9966
189,1359.0121
190,1360.2896
191,1360.9432
192,1360.7649
193,1356.3779
194,1352.1952
195,1348.7245
196,1347.2743
197,1348.7515
198,1346.6119
199,1350.0322
200,1353.4283
201,1354.1437
202,1354.9128
203,1354.576
204,1358.6495
205,1359.7959
206,1364.4996
207,1363.4625
208,1358.8625
209,1358.873
210,1359.9105
211,1347.6212
212,1348.5659
213,1350.9305
214,1353.3381
215,1353.7397
216,1355.3069
217,1355.1486
218,1354.3712
219,1354.9934
220,1359.5833
221,1361.7559
222,1360.5973
223,1357.9718
224,1354.7102
225,1354.2422
226,1360.4209
227,1354.3733
228,1354.9303
229,1354.5048
230,1355.0881
231,1356.9769
232,1356.6447
233,1357.6133
234,1356.7855
235,1355.6963
236,1354.8127
237,1358.6515
238,1358.8066
239,1356.014
240,1354.7887
241,1356.317
242,1353.507
243,1353.2305
244,1346.9911
245,1348.3331
246,1345.2657
247,1345.5531
248,1345.0007
249,1342.0891
250,1347.6793
251,1351.5334
252,1349.6437
253,1350.6241
254,1351.3162
255,1352.6038
256,1352.5681
257,1355.872
258,1356.4465
259,1358.718
260,1357.368
261,1348.4373
262,1348.5262
263,1349.4851
264,1346.5001
265,1342.9728
266,1346.8835
267,1346.3966
268,1346.9415
269,1350.3678
270,1351.0176
271,1352.2697
272,1354.7247
273,1351.4241
274,1347.6614
275,1346.8408
276,1347.0408
277,1345.8228
278,1345.7784
279,1351.2704
280,1350.1135
281,1351.3585
282,1349.8308
283,1349.8928
284,1348.4205
285,1344.8291
286,1339.9962
287,1342.2307
288,1342.0118
289,1342.0232
290,1345.6588
291,1347.6434
292,1349.0713
293,1344.0591
294,1338.9403
295,1337.8593
296,1335.897
297,1337.6787
298,1340.3333
299,1336.4117
300,1334.9613
301,1330.741
302,1330.8478
303,1330.1692
304,1332.0569
305,1331.3931
306,1331.4329
307,1333.8867
308,1333.1172
309,1338.7444
310,1338.4484
311,1338.6
312,1345.9144
313,1347.6165
314,1349.7301
315,1350.2056
316,1350.8568
317,1351.4552
318,1350.8431
319,1355.4792
320,1354.4958
321,1356.0463
322,1356.5942
323,1357.4003
324,1354.9521
325,1353.1804
326,1353.4003
327,1350.8405
328,1352.386
329,1347.7137
330,1347.96
331,1349.6908
332,1349.1045
333,1344.7676
334,1344.6306
335,1344.7988
336,1347.1998
337,1343.5432
338,1342.3691
339,1342.1803
340,1340.6138
341,1337.8663
342,1335.9064
343,1334.8859
344,1332.1005
345,1328.5416
346,1331.2388
347,1348.9015
348,1346.0023
349,1347.9307
350,1341.598
351,1342.9287
352,1343.2816
353,1343.5786
354,1347.7122
355,1340.3572
356,1339.4965
357,1338.5481
358,1337.6462
359,1338.9098
360,1337.0938
361,1342.5726
362,1337.9045
363,1339.6066
364,1339.174
365,1338.5176
366,1345.8456
367,1344.4104
368,1347.0013
369,1353.3479
370,1350.3457
371,1348.2239
372,1346.4587
373,1344.4524
374,1341.9785
375,1342.5421
376,1344.0367
377,1342.7478
378,1343.3059
379,1345.5376
380,1342.7263
381,1344.5538
382,1347.7711
383,1347.5311
384,1347.1567
385,1344.6636
386,1337.9232
387,1340.9805
388,1338.639
389,1339.37
390,1338.1979
391,1337.5696
392,1337.7758
393,1338.1631
394,1336.166
395,1336.6062
396,1341.2161
397,1339.9517
398,1339.8926
399,1341.7234
400,1337.1399
401,1330.6648
402,1327.3947
403,1323.1753
404,1328.3533
405,1324.9406
406,1325.0806
407,1330.653
408,1332.2042
409,1333.3181
410,1335.258
411,1333.1875
412,1330.1176
413,1323.7859
414,1324.8174
415,1320.659
416,1348.4668
417,1348.6771
418,1348.3359
419,1346.708
420,1346.5187
421,1340.5691
422,1340.4817
423,1344.2678
424,1348.127
425,1349.6788
426,1346.6725
427,1349.7041
428,1349.7936
429,1351.7231
430,1354.0779
431,1356.2527
432,1361.7872
433,1362.2324
434,1358.6149
435,1358.5951
436,1361.4213
437,1360.9034
438,1360.5255
439,1363.0585
440,1364.021
441,1361.0656
442,1360.138
443,1359.8494
444,1345.6744
445,1344.1688
446,1343.8568
447,1344.1692
448,1344.0173
449,1344.8076
450,1348.6517
451,1353.2031
452,1351.5382
453,1353.7036
454,1349.823
455,1350.0604
456,1349.3707
457,1346.0939
458,1347.5654
459,1346.2827
460,1345.7562
461,1346.6875
462,1345.5323
463,1345.1606
464,1345.1699
465,1347.0394
466,1347.2073
467,1344.1941
468,1345.6694
469,1342.4305
470,1343.6116
471,1343.3766
472,1344.3665
473,1344.5264
474,1345.5626
475,1370.0588
476,1369.6781
477,1367.0371
478,1362.999
479,1353.953
480,1355.9099
481,1357.8655
482,1357.8353
483,1349.6326
484,1348.4481
485,1348.5112
486,1352.2004
487,1352.9297
488,1353.4459
489,1355.0225
490,1351.2338
491,1352.374
492,1350.3065
493,1352.2158
494,1353.5311
495,1354.6969
496,1357.8976
497,1356.8408
498,1358.4419
499,1354.4453
500,1355.7368
501,1354.2028
502,1352.0114
503,1350.375
504,1348.3602
505,1348.417
506,1347.9651
507,1349.4729
508,1350.1992
509,1347.391
510,1343.1313
511,1343.022
512,1348.8977
513,1347.9043
514,1345.8123
515,1346.7733
516,1347.7762
517,1345.6655
518,1347.1415
519,1344.9694
520,1345.3082
521,1347.2942
522,1341.9752
523,1344.3278
524,1342.4359
525,1344.6636
526,1346.2782
527,1348.4933
528,1346.6544
529,1343.5946
530,1342.709
531,1344.0242
532,1342.6074
533,1344.8146
534,1342.7657
535,1339.4263
536,1337.1008
537,1333.5684
538,1332.2924
539,1329.6727
540,1328.561
541,1325.1879
542,1322.7092
543,1332.091
544,1330.3644
545,1353.1301
546,1351.7781
547,1348.0635
548,1341.3778
549,1339.0779
550,1338.6733
551,1339.4154
552,1336.8983
553,1334.8558
554,1333.9945
555,1334.8024
556,1328.526
557,1331.5653
558,1329.4364
559,1326.6227
560,1320.0477
561,1319.7426
562,1319.1793
563,1323.7224
564,1321.2732
565,1321.4398
566,1323.2924
567,1321.6044
568,1322.0624
569,1319.1118
570,1319.1185
571,1317.7279
572,1314.0515
573,1317.021
574,1316.8887
575,1320.2672
576,1320.2535
577,1321.3872
578,1318.2013
579,1318.2854
580,1314.6766
581,1352.6179
582,1352.9664
583,1353.9465
584,1357.0415
585,1356.2242
586,1355.0359
587,1353.7812
588,1356.6783
589,1357.3739
590,1356.5731
591,1354.2568
592,1354.0046
593,1357.9537
594,1358.6694
595,1359.2825
596,1359.8396
597,1360.9724
598,1360.8776
599,1360.3849
600,1358.0347
601,1357.6748
602,1357.9141
603,1356.2931
604,1357.9641
605,1355.9827
606,1354.243
607,1353.6489
608,1353.8508
609,1351.1476
610,1350.4657
611,1346.6827
612,1345.7461
613,1348.3551
614,1350.9281
615,1350.9956
616,1342.7623
617,1342.4595
618,1340.0012
619,1345.5585
620,1346.9907
621,1347.9462
622,1346.3568
623,1348.9487
624,1348.3645
625,1347.896
626,1350.0916
627,1345.2295
628,1338.4463
629,1340.1042
630,1342.7242
631,1342.378
632,1343.4084
633,1337.7823
634,1339.254
635,1337.4691
636,1339.6803
637,1339.5177
638,1336.0854
639,1338.122
640,1339.3047
641,1338.6016
642,1338.6976
643,1337.0461
644,1339.3969
645,1338.0977
646,1338.7466
647,1333.0631
648,1334.8385
649,1324.0564
650,1324.6674
651,1326.2975
652,1329.007
653,1327.3816
654,1323.7288
655,1327.125
656,1329.9277
657,1328.0975
658,1326.6708
659,1328.6903
660,1326.8677
661,1327.1724
662,1328.4442
663,1325.7573
664,1325.3363
665,1323.5712
666,1321.2361
667,1320.7205
668,1325.314
669,1326.1898
670,1330.804
671,1329.878
672,1326.5779
673,1326.9854
674,1328.6348
675,1329.1194
676,1328.7227
677,1325.257
678,1328.0349
679,1328.2799
680,1328.7155
681,1329.8796
682,1324.9176
683,1327.8861
