seqid,model_score
0,1365.5282
1,1365.1322
2,1364.6127
3,1363.8823
4,1366.7
5,1366.4058
6,1367.4838
7,1366.7068
8,1365.415
9,1365.2241
10,1369.9886
11,1368.5918
12,1371.6704
13,1369.8179
14,1369.7971
15,1368.6293
16,1371.4064
17,1371.8187
18,1371.2131
19,1370.7081
20,1371.493
21,1372.6655
22,1374.5281
23,1374.1218
24,1364.4404
25,1366.1405
26,1365.5315
27,1366.2666
28,1366.7864
29,1366.025
30,1363.8658
31,1362.68
32,1362.4349
33,1362.1595
34,1366.6956
35,1365.474
36,1363.5431
37,1366.3417
38,1366.4304
39,1363.5085
40,1362.2471
41,1361.994
42,1363.0088
43,1362.8457
44,1364.226
45,1363.175
46,1362.6144
47,1363.5144
48,1364.9635
49,1364.5221
50,1367.5582
51,1367.4928
52,1366.6465
53,1368.9827
54,1370.4175
55,1370.6729
56,1370.2621
57,1370.3768
58,1368.2809
59,1366.9972
60,1367.9432
61,1368.3864
62,1368.6202
63,1368.9132
64,1370.1396
65,1370.8699
66,1368.7015
67,1369.118
68,1369.3132
69,1369.6768
70,1370.2211
71,1355.0753
72,1354.6644
73,1355.9938
74,1353.729
75,1356.1754
76,1357.6564
77,1358.7501
78,1360.001
79,1361.9109
80,1361.238
81,1361.1787
82,1358.3872
83,1359.0754
84,1358.9949
85,1357.0062
86,1357.8882
87,1357.8223
88,1360.7767
89,1361.7354
90,1369.6462
91,1369.633
92,1371.284
93,1371.387
94,1370.4114
95,1369.924
96,1371.3585
97,1373.4028
98,1355.0819
99,1354.582
100,1352.8496
101,1357.4219
102,1365.2716
103,1365.1372
104,1364.5199
105,1366.0333
106,1368.6836
107,1368.5685
108,1369.1621
109,1368.8763
110,1368.4814
111,1367.8138
112,1366.6284
113,1365.8171
114,1364.7345
115,1370.392
116,1370.6873
117,1371.0349
118,1370.823
119,1368.1868
120,1367.9388
121,1370.3577
122,1369.1007
123,1375.2795
124,1375.3411
125,1376.4448
126,1377.0896
127,1377.5363
128,1375.1343
129,1361.3557
130,1363.7233
131,1362.3391
132,1360.3269
133,1360.4464
134,1359.7722
135,1360.3279
136,1359.0992
137,1358.3638
138,1358.9658
139,1362.6714
140,1362.8876
141,1363.988
142,1363.3687
143,1364.6196
144,1365.1405
145,1367.1097
146,1369.6403
147,1367.1182
148,1372.1505
149,1371.5244
150,1373.9586
151,1373.1029
152,1373.2988
153,1376.5094
154,1374.9857
155,1378.1697
156,1380.1073
157,1378.4312
158,1376.1713
159,1376.9644
160,1376.5471
161,1376.3835
162,1376.5299
163,1376.636
164,1378.344
165,1379.0115
166,1378.5737
167,1380.2418
168,1380.6609
169,1377.476
170,1377.9321
171,1376.0754
172,1378.2195
173,1380.3107
174,1383.0134
175,1381.3196
176,1381.8718
177,1361.679
178,1361.5262
179,1360.9757
180,1360.4595
181,1361.4785
182,1362.1604
183,1357.2656
184,1357.1226
185,1359.6483
186,1360.5581
187,1360.6382
188,1361.5292
189,1360.5367
190,1362.2133
191,1361.2723
192,1360.5931
193,1361.9238
194,1361.7592
195,1363.1414
196,1364.0507
197,1362.9547
198,1362.0374
199,1367.1879
200,1365.9233
201,1368.2404
202,1369.3633
203,1371.4847
204,1375.6283
205,1376.7853
206,1378.1068
207,1377.3523
208,1380.6068
209,1381.5946
210,1382.4115
211,1382.4816
212,1383.2073
213,1381.4337
214,1384.2048
215,1384.8922
216,1387.6393
217,1384.9614
218,1360.428
219,1362.752
220,1360.4945
221,1359.6965
222,1359.381
223,1362.3165
224,1364.0868
225,1360.9678
226,1358.8488
227,1359.2478
228,1359.2472
229,1358.7037
230,1358.8516
231,1356.5292
232,1354.6989
233,1350.6238
234,1351.8696
235,1352.7953
236,1351.6077
237,1354.4274
238,1355.6959
239,1356.4065
240,1356.8555
241,1355.9663
242,1356.232
243,1360.5787
244,1361.5009
245,1363.1125
246,1355.4005
247,1354.9828
248,1356.3519
249,1356.2264
250,1356.007
251,1357.9762
252,1361.078
253,1361.955
254,1362.3661
255,1364.3225
256,1364.8431
257,1361.165
258,1362.9359
259,1367.9406
260,1366.0479
261,1365.6356
262,1366.1384
263,1364.4647
264,1363.7865
265,1365.275
266,1362.1796
267,1361.5713
268,1360.6431
269,1360.9762
270,1360.0828
271,1359.8889
272,1360.9231
273,1361.8187
274,1362.3037
275,1364.206
276,1364.9187
277,1370.1738
278,1370.7213
279,1370.3425
280,1369.8302
281,1368.1821
282,1368.8728
283,1368.0217
284,1370.4705
285,1369.5177
286,1367.0651
287,1367.6884
288,1365.9158
289,1367.6223
290,1369.0099
291,1368.9977
292,1368.2423
293,1366.0449
294,1367.3682
295,1368.3162
296,1365.8448
297,1367.3054
298,1367.6008
299,1369.6844
300,1369.4608
301,1367.5668
302,1367.1819
303,1368.5983
304,1368.0157
305,1368.0024
306,1367.3379
307,1365.0459
308,1365.5652
309,1367.9023
310,1367.0334
311,1358.1393
312,1357.8386
313,1357.4141
314,1359.1056
315,1355.0187
316,1358.7738
317,1356.6927
318,1357.1775
319,1359.987
320,1360.972
321,1367.7087
322,1366.8558
323,1366.613
324,1364.469
325,1363.7316
326,1363.8438
327,1364.4696
328,1362.655
329,1359.4258
330,1359.6989
331,1360.6484
332,1360.7073
333,1358.7738
334,1360.0304
335,1360.4749
336,1356.6328
337,1355.1005
338,1358.8173
339,1361.2135
340,1363.9913
341,1360.4216
342,1356.4623
343,1358.18
344,1364.2593
345,1365.4445
346,1367.2295
347,1366.0878
348,1366.3281
349,1369.241
350,1369.2554
351,1367.1963
352,1366.7781
353,1368.1147
354,1368.4841
355,1371.2812
356,1370.6136
357,1373.003
358,1376.5616
359,1376.8563
360,1382.8369
361,1381.9912
362,1381.8002
363,1358.7169
364,1358.9141
365,1360.2689
366,1358.888
367,1358.6552
368,1365.1913
369,1367.6932
370,1370.0879
371,1369.8383
372,1377.9822
373,1383.0841
374,1380.4956
375,1381.0859
376,1381.3239
377,1382.1517
378,1383.5487
379,1382.4534
380,1383.9863
381,1385.3207
382,1383.3022
383,1383.7477
384,1382.9019
385,1381.5365
386,1383.0364
387,1382.5547
388,1385.6742
389,1386.7875
390,1386.4883
391,1370.0826
392,1371.3247
393,1371.4246
394,1372.2921
395,1368.4541
396,1367.4675
397,1364.6929
398,1364.6217
399,1365.5396
400,1367.5168
