seq_id,score,coeff_beta
seq0,61.63606054567185,3.0
seq1,61.646540242296524,3.0
seq2,61.879691459817934,3.0
seq3,61.879691459817934,3.0
seq4,61.85807721720333,3.0
seq5,61.96515758709869,3.0
seq6,61.98183095583535,3.0
seq7,61.98183095583535,3.0
seq8,61.98559735350433,3.0
seq9,61.93893419025897,3.0
seq10,62.073015074745385,3.0
seq11,62.13683604212256,3.0
seq12,62.20943115016293,3.0
seq13,62.26290104236642,3.0
seq14,62.44613904154749,3.0
seq15,62.44613904154749,3.0
seq16,62.51306409037562,3.0
seq17,62.64608753282981,3.0
seq18,62.64608753282981,3.0
seq19,62.71887379442641,3.0
seq20,62.731839234934554,3.0
seq21,62.79221050328741,3.0
seq22,62.833505700909654,3.0
seq23,62.833505700909654,3.0
seq24,62.75758611747536,3.0
seq25,62.75758611747536,3.0
seq26,62.73858374537836,3.0
seq27,62.78151829292445,3.0
seq28,62.78151829292445,3.0
seq29,62.86140165565334,3.0
seq30,63.010295564564224,3.0
seq31,63.129775493134595,3.0
seq32,63.49015319466815,3.0
seq33,63.49015319466815,3.0
seq34,63.66036977735319,3.0
seq35,63.729482395557646,3.0
seq36,63.88270111918957,3.0
seq37,63.88270111918957,3.0
seq38,63.88270111918957,3.0
seq39,63.88270111918957,3.0
seq40,63.89639986562539,3.0
seq41,63.89639986562539,3.0
seq42,64.05211397576801,3.0
seq43,64.05211397576801,3.0
seq44,64.1454975453911,3.0
seq45,64.1454975453911,3.0
seq46,64.50304365488965,3.0
seq47,64.45337053928573,3.0
seq48,64.45337053928573,3.0
seq49,64.45337053928573,3.0
seq50,64.45337053928573,3.0
seq51,64.58701006957578,3.0
seq52,64.58701006957578,3.0
seq53,64.58701006957578,3.0
seq54,64.81204875583617,3.0
seq55,64.81204875583617,3.0
seq56,64.81204875583617,3.0
seq57,64.81204875583617,3.0
seq58,64.81204875583617,3.0
seq59,64.81204875583617,3.0
seq60,64.81204875583617,3.0
seq61,64.80696705131571,3.0
seq62,64.80696705131571,3.0
seq63,64.80696705131571,3.0
seq64,64.80696705131571,3.0
seq65,64.80696705131571,3.0
seq66,64.80696705131571,3.0
seq67,64.80696705131571,3.0
seq68,64.80331756443464,3.0
